id,subject,model_name,n_shot,correct_answer,model_answer,correct_prob,prob_A,prob_B,prob_C,prob_D
abstract_algebra_0,abstract_algebra,olmo3-7b,0,B,D,0.385498046875,0.00026106834411621094,0.385498046875,0.00799560546875,0.6064453125
abstract_algebra_1,abstract_algebra,olmo3-7b,0,C,C,0.9423828125,0.00045990943908691406,0.00331878662109375,0.9423828125,0.053985595703125
abstract_algebra_2,abstract_algebra,olmo3-7b,0,D,D,0.76904296875,0.227294921875,0.0002703666687011719,0.003345489501953125,0.76904296875
abstract_algebra_3,abstract_algebra,olmo3-7b,0,B,C,0.43798828125,0.00982666015625,0.43798828125,0.544921875,0.007190704345703125
abstract_algebra_4,abstract_algebra,olmo3-7b,0,B,B,0.42333984375,0.10540771484375,0.42333984375,0.397705078125,0.07354736328125
abstract_algebra_5,abstract_algebra,olmo3-7b,0,A,B,0.001995086669921875,0.001995086669921875,0.7685546875,0.2271728515625,0.0025234222412109375
abstract_algebra_6,abstract_algebra,olmo3-7b,0,A,C,0.03204345703125,0.03204345703125,0.0017518997192382812,0.9658203125,0.0004031658172607422
abstract_algebra_7,abstract_algebra,olmo3-7b,0,D,C,0.0027332305908203125,0.0218353271484375,0.061248779296875,0.9140625,0.0027332305908203125
abstract_algebra_8,abstract_algebra,olmo3-7b,0,B,B,0.83447265625,1.4901161193847656e-06,0.83447265625,0.1593017578125,0.00637054443359375
abstract_algebra_9,abstract_algebra,olmo3-7b,0,C,C,0.6669921875,0.0211181640625,0.00634002685546875,0.6669921875,0.305419921875
abstract_algebra_10,abstract_algebra,olmo3-7b,0,C,C,0.7041015625,0.2509765625,0.0173492431640625,0.7041015625,0.0277252197265625
abstract_algebra_11,abstract_algebra,olmo3-7b,0,C,A,0.007450103759765625,0.9912109375,0.00055694580078125,0.007450103759765625,0.0009617805480957031
abstract_algebra_12,abstract_algebra,olmo3-7b,0,A,C,0.0038814544677734375,0.0038814544677734375,0.020660400390625,0.56689453125,0.408447265625
abstract_algebra_13,abstract_algebra,olmo3-7b,0,C,B,0.10546875,0.0016012191772460938,0.75537109375,0.10546875,0.1375732421875
abstract_algebra_14,abstract_algebra,olmo3-7b,0,C,D,0.0023250579833984375,0.229736328125,0.0026340484619140625,0.0023250579833984375,0.76513671875
abstract_algebra_15,abstract_algebra,olmo3-7b,0,B,B,0.95166015625,0.005397796630859375,0.95166015625,0.04248046875,0.0005965232849121094
abstract_algebra_16,abstract_algebra,olmo3-7b,0,C,C,0.9931640625,1.6987323760986328e-05,5.030632019042969e-05,0.9931640625,0.00669097900390625
abstract_algebra_17,abstract_algebra,olmo3-7b,0,C,D,0.1163330078125,0.0035686492919921875,0.316162109375,0.1163330078125,0.56396484375
abstract_algebra_18,abstract_algebra,olmo3-7b,0,D,C,0.1986083984375,0.0007867813110351562,0.00254058837890625,0.7978515625,0.1986083984375
abstract_algebra_19,abstract_algebra,olmo3-7b,0,A,C,0.318115234375,0.318115234375,0.0053863525390625,0.67333984375,0.0034236907958984375
abstract_algebra_20,abstract_algebra,olmo3-7b,0,A,C,0.01323699951171875,0.01323699951171875,0.0377197265625,0.9423828125,0.00655364990234375
abstract_algebra_21,abstract_algebra,olmo3-7b,0,A,B,0.0736083984375,0.0736083984375,0.41064453125,0.2958984375,0.2198486328125
abstract_algebra_22,abstract_algebra,olmo3-7b,0,D,C,0.0019397735595703125,0.0031490325927734375,0.005611419677734375,0.9892578125,0.0019397735595703125
abstract_algebra_23,abstract_algebra,olmo3-7b,0,D,C,4.9054622650146484e-05,2.193450927734375e-05,5.227327346801758e-05,1.0,4.9054622650146484e-05
abstract_algebra_24,abstract_algebra,olmo3-7b,0,B,C,0.0191802978515625,0.0038356781005859375,0.0191802978515625,0.96826171875,0.00878143310546875
abstract_algebra_25,abstract_algebra,olmo3-7b,0,C,C,0.99951171875,0.00037407875061035156,5.960464477539063e-08,0.99951171875,3.039836883544922e-06
abstract_algebra_26,abstract_algebra,olmo3-7b,0,C,C,0.99169921875,4.26173210144043e-05,0.0014448165893554688,0.99169921875,0.006999969482421875
abstract_algebra_27,abstract_algebra,olmo3-7b,0,B,D,0.0010309219360351562,0.00019359588623046875,0.0010309219360351562,0.001453399658203125,0.99755859375
abstract_algebra_28,abstract_algebra,olmo3-7b,0,D,C,0.01702880859375,0.03179931640625,0.0070953369140625,0.94384765625,0.01702880859375
abstract_algebra_29,abstract_algebra,olmo3-7b,0,A,A,0.99462890625,0.99462890625,0.00036644935607910156,0.00482940673828125,5.602836608886719e-06
abstract_algebra_30,abstract_algebra,olmo3-7b,0,B,C,0.0025787353515625,0.0031604766845703125,0.0025787353515625,0.9931640625,0.0011997222900390625
abstract_algebra_31,abstract_algebra,olmo3-7b,0,B,B,0.99951171875,0.00039196014404296875,0.99951171875,3.93986701965332e-05,0.00013756752014160156
abstract_algebra_32,abstract_algebra,olmo3-7b,0,A,C,0.005298614501953125,0.005298614501953125,0.0001189112663269043,0.994140625,0.0004086494445800781
abstract_algebra_33,abstract_algebra,olmo3-7b,0,C,A,0.09661865234375,0.90234375,0.0003948211669921875,0.09661865234375,0.000797271728515625
abstract_algebra_34,abstract_algebra,olmo3-7b,0,A,C,0.0022945404052734375,0.0022945404052734375,0.234130859375,0.755859375,0.0078887939453125
abstract_algebra_35,abstract_algebra,olmo3-7b,0,B,D,0.1666259765625,3.2186508178710938e-06,0.1666259765625,0.00047898292541503906,0.8330078125
