train_dataset,test_dataset,train_feature_type,test_feature_type,model_name,layer_idx,probe_type,regularization,use_scaler,balance_groups,is_cv_result,avg_max_acc,std_max_acc,avg_auroc,std_auroc,avg_auprc,std_auprc,avg_avg_abs_score,std_avg_abs_score,fold_1_max_acc,fold_1_auroc,fold_1_auprc,fold_1_avg_abs_score,fold_2_max_acc,fold_2_auroc,fold_2_auprc,fold_2_avg_abs_score,fold_3_max_acc,fold_3_auroc,fold_3_auprc,fold_3_avg_abs_score,fold_4_max_acc,fold_4_auroc,fold_4_auprc,fold_4_avg_abs_score,fold_5_max_acc,fold_5_auroc,fold_5_auprc,fold_5_avg_abs_score
claims__definitional_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b,18,lr,0.0001,True,False,True,0.9561677835691238,0.011128245237390574,0.9849796157441701,0.008815354504501697,0.9869350660913048,0.007356009533661134,2.226337433858162,0.05467733707029669,0.9411764705882353,0.969993615662907,0.9750138409330803,2.1843760074649445,0.9451476793248945,0.9813646788990826,0.982931584395947,2.2014099237089866,0.9620253164556962,0.9882395382395383,0.9889130082504264,2.2052418705931958,0.9620253164556962,0.9892882818116464,0.9915375278966088,2.3345568391778406,0.9704641350210971,0.996011964107677,0.9962793689804617,2.206102528345843
claims__evidential_gemini_600_full,claims__evidential_gemini_600_full,last,last,olmo3-7b,18,lr,0.0001,True,False,True,0.9587612845937545,0.012909250436576519,0.9889848273842242,0.004817430125723379,0.9901119914928564,0.004188447014231349,2.3217443425228086,0.03422796026049737,0.9656652360515021,0.9920424403183025,0.9930326729129508,2.2747091679697116,0.9399141630901288,0.9822428529325081,0.9847569509596579,2.378328072476248,0.9527896995708155,0.9854089904200443,0.9868778528823439,2.3347309202129827,0.9785407725321889,0.995938561512332,0.9964091161185279,2.3072230961008326,0.9568965517241379,0.9892912917379341,0.9894833645908014,2.313730455854268
claims__fictional_gemini_600_full,claims__fictional_gemini_600_full,last,last,olmo3-7b,18,lr,0.0001,True,False,True,0.9049999999999999,0.02098279718669029,0.9633479046494099,0.008345552920750636,0.965843126736335,0.005298427038195316,1.5063366611903304,0.033276788976786036,0.925,0.9724521739130435,0.9712954680070984,1.5235320329733573,0.9125,0.9643527204502814,0.9678285629031842,1.4608314325146745,0.8916666666666667,0.9613086968602389,0.9606406240937346,1.476707091409278,0.8708333333333333,0.9486446937495644,0.9585153201447157,1.5528266026706599,0.925,0.9699812382739211,0.9709356585329417,1.517786146383682
claims__logical_gemini_600_full,claims__logical_gemini_600_full,last,last,olmo3-7b,18,lr,0.0001,True,False,True,0.8539130434782608,0.015457729421418414,0.9206663235122059,0.01761473966583669,0.935811124769951,0.010711556806964827,1.2959311029917526,0.08314169996760537,0.8652173913043478,0.9187047619047619,0.9257032805751403,1.2671952416121033,0.8260869565217391,0.8963636363636364,0.9226489084434999,1.2089020041197165,0.8652173913043478,0.9374668786433493,0.9469727880801792,1.4523542084221992,0.8478260869565217,0.9076515151515151,0.9347806418761935,1.2964367045132654,0.8652173913043478,0.9431448254977667,0.9489500048747426,1.2547673562914785
got__best,got__best,last,last,olmo3-7b,18,lr,0.0001,True,False,True,0.9712305726949714,0.004390808871635566,0.9933509081438971,0.0027047083107104683,0.9905702816788564,0.006289929235356258,3.5153407434464286,0.06032602162659065,0.9784327821711,0.9958116265608202,0.9954261522993337,3.5900567957337435,0.9690869877785766,0.9945543633318861,0.9940215433594319,3.4723400019488073,0.9741007194244604,0.9960422983249664,0.9964813652407298,3.4384454876396604,0.9676258992805755,0.9892693510886961,0.9798344932941077,3.5816977018361764,0.9669064748201439,0.9910769014131173,0.9870878542006788,3.494163730073756
sycophancy_v2__data/sycophancy_v2/olmo3-7b/pairs/sycophancy_pairs_26-03-03_02:24:05.csv,sycophancy_v2__data/sycophancy_v2/olmo3-7b/pairs/sycophancy_pairs_26-03-03_02:24:05.csv,last,last,olmo3-7b,18,lr,0.0001,True,False,True,0.8443270451659715,0.007127032784552503,0.9086791870897043,0.009208927992766168,0.9070186299765162,0.014430761570260518,0.9384665516653093,0.046217910801798164,0.8422818791946308,0.9089680645015992,0.9122803096500047,0.9418404782498373,0.8557046979865772,0.9174811945407865,0.9198483780470228,0.9378312232911981,0.847972972972973,0.9195580715850986,0.9174000092045845,0.9933642026545899,0.8344594594594594,0.8949050401753105,0.8798241539903341,0.9643931467954426,0.8412162162162162,0.9024835646457269,0.9057402989906347,0.8549037073354793
claims__evidential_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b,18,lr,0.0001,True,False,False,0.9300168634064081,0.001686340640809414,0.9752679518497139,0.0003864271404896544,0.9799664747774133,0.00027460859905198995,2.0759575366973877,0.023462685296170658,0.9300168634064081,0.9748812025627828,0.9796643689468498,2.070124387741089,0.9308600337268128,0.9758338570563261,0.9803586663366041,2.0970070362091064,0.9325463743676222,0.9756291074338332,0.9802140783936791,2.1073086261749268,0.9291736930860034,0.9749835773740292,0.9798802214598111,2.0424702167510986,0.927487352445194,0.9750120148215976,0.9797150387501216,2.0628774166107178
claims__fictional_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b,18,lr,0.0001,True,False,False,0.9403035413153458,0.0019520804220556933,0.9799897056439801,0.0002531322620274192,0.9832103159842098,0.00024279464852063905,1.9088888883590698,0.019631491504920415,0.9409780775716695,0.9803895361567927,0.9834502470930285,1.8734631538391113,0.9426644182124789,0.9800966304468375,0.9833442009560709,1.9133226871490479,0.9409780775716695,0.9800056306146185,0.9832202126252908,1.907366156578064,0.9367622259696459,0.9796501625200128,0.9827487019411804,1.917354702949524,0.9401349072512648,0.9798065684816394,0.9832882173054784,1.932937741279602
claims__logical_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b,18,lr,0.0001,True,False,False,0.9401349072512648,0.0016863406408094584,0.9802996738224765,0.0008744163235705701,0.9827090153958669,0.0006825172805332306,1.4947341680526733,0.02632973967527642,0.93929173693086,0.9801421303629473,0.9823524771729325,1.4667949676513672,0.9409780775716695,0.9810464411956241,0.9833339555785134,1.5178990364074707,0.9376053962900506,0.9786662268341444,0.981528276918439,1.491363763809204,0.9401349072512648,0.9809383788948639,0.9831892371573397,1.531245231628418,0.9426644182124789,0.9807051918248025,0.9831411301521089,1.4663678407669067
got__best,claims__definitional_gemini_600_full,last,last,olmo3-7b,18,lr,0.0001,True,False,False,0.9381112984822935,0.001966594230976458,0.9805277421519755,0.0003487901344401532,0.9825968426967279,0.0002950997046371155,2.2768335819244383,0.05631559043229967,0.9384485666104553,0.9808018791465354,0.982863105116431,2.2468929290771484,0.93929173693086,0.9807307855276142,0.9826661981617624,2.231657028198242,0.9342327150084317,0.9798435371634784,0.9820314150484384,2.2160990238189697,0.93929173693086,0.9806653793982067,0.9827942055452086,2.3460493087768555,0.93929173693086,0.9805971295240425,0.9826292896117989,2.3434696197509766
