train_dataset,test_dataset,train_feature_type,test_feature_type,model_name,layer_idx,probe_type,regularization,use_scaler,balance_groups,is_cv_result,avg_max_acc,std_max_acc,avg_auroc,std_auroc,avg_auprc,std_auprc,avg_avg_abs_score,std_avg_abs_score,fold_1_max_acc,fold_1_auroc,fold_1_auprc,fold_1_avg_abs_score,fold_2_max_acc,fold_2_auroc,fold_2_auprc,fold_2_avg_abs_score,fold_3_max_acc,fold_3_auroc,fold_3_auprc,fold_3_avg_abs_score,fold_4_max_acc,fold_4_auroc,fold_4_auprc,fold_4_avg_abs_score,fold_5_max_acc,fold_5_auroc,fold_5_auprc,fold_5_avg_abs_score
claims__definitional_gemini_600_full,claims__definitional_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,True,0.9662837286813459,0.009570602126027217,0.9929707173853034,0.004066265404789791,0.9936413817661744,0.003809081566835333,4.380808657793489,0.17441194415559297,0.9537815126050421,0.9868057033411364,0.9880592870776943,4.079468769001334,0.9789029535864979,0.9973480504587156,0.9978943904546097,4.528797578089396,0.9662447257383966,0.9907647907647908,0.9918147344657389,4.344534817778357,0.9746835443037974,0.9974838245866283,0.9979561884236938,4.5758622879547906,0.9578059071729957,0.9924512177752457,0.9924823084091355,4.375379836143568
claims__evidential_gemini_600_full,claims__evidential_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,True,0.9879828326180258,0.006307698908454543,0.9987319973449221,0.0007361321565466795,0.9988036973750422,0.000689208753986411,4.881917092973376,0.08661732993843323,0.9871244635193133,0.9988211022693781,0.9988817112115753,4.780880936916904,0.9828326180257511,0.9985263778367227,0.9985524535902581,4.9278402429698795,0.9828326180257511,0.9977155490051584,0.9978730219706372,5.021238225919088,0.9871244635193133,0.9985969576133511,0.9987113001027397,4.873277087039782,1.0,1.0,1.0,4.806348972021228
claims__fictional_gemini_600_full,claims__fictional_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,True,0.9608333333333334,0.0056519416526043705,0.989178114667563,0.003327683155792649,0.9908941862377608,0.002126024462953642,3.8642605770663834,0.11328587065894515,0.9583333333333334,0.9898434782608696,0.9908546007040866,3.8317627711452618,0.9583333333333334,0.9858939615037176,0.9889128709533997,4.055812174191368,0.9625,0.9898582939705474,0.9907106285725182,3.707941535804808,0.9541666666666667,0.985575918054491,0.9891495566142509,3.8314214797528314,0.9708333333333333,0.9947189215481897,0.9948432743445482,3.8943649244376477
claims__logical_gemini_600_full,claims__logical_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,True,0.7991304347826087,0.033834915579728196,0.871906030736619,0.03305731017104112,0.8832396595759793,0.042533065499458386,1.6468988199576469,0.14085263578994595,0.7434782608695653,0.8127238095238095,0.801531477181699,1.5193540996221853,0.7782608695652173,0.8618939393939394,0.8901611621798088,1.550065136680239,0.8347826086956521,0.9081686728745553,0.9221336149794436,1.9142209850296028,0.8130434782608695,0.8897727272727273,0.9102494216985152,1.6012434336977859,0.8260869565217391,0.8869710046180634,0.89212262184043,1.649610444758421
got__best,got__best,last,last,llama-8b,15,lr,0.001,True,False,True,0.9998561151079137,0.0002877697841726423,0.9999995857978362,8.284043275796904e-07,0.9999996015714023,7.968571952399195e-07,6.552449189147934,0.036095954064524004,1.0,1.0,1.0,6.612434385058846,1.0,1.0,1.0,6.571916223814705,0.9992805755395684,0.999997928989181,0.9999980078570119,6.514696377128514,1.0,1.0,1.0,6.520583474183184,1.0,1.0,0.9999999999999999,6.542615485554423
sycophancy_v2__data/sycophancy_v2/llama-8b/pairs/sycophancy_pairs_26-03-02_22:30:03.csv,sycophancy_v2__data/sycophancy_v2/llama-8b/pairs/sycophancy_pairs_26-03-02_22:30:03.csv,last,last,llama-8b,15,lr,0.001,True,False,True,0.9028785801890196,0.007700551271178707,0.9578139675408268,0.008292109901747273,0.9582667520819541,0.0105823491464007,1.9279096884129845,0.06220024128076905,0.9041916167664671,0.9594822331385133,0.9582305718327845,1.9797152460234104,0.9161676646706587,0.9681236329735737,0.9707071288709341,1.9559970294177025,0.8952095808383234,0.9426655670694539,0.9387866251780357,1.8708692616174851,0.8952095808383234,0.9597332281544695,0.9623776675968458,1.8378803115680178,0.9036144578313253,0.9590651763681232,0.9612317669311701,1.995086593438307
claims__evidential_gemini_600_full,claims__definitional_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,False,0.9483979763912309,0.0011185918348584627,0.9787526766747522,0.0007009599515185124,0.9847077118106927,0.0003472574346532273,4.398487377166748,0.060815527620981094,0.948566610455312,0.9784188210402986,0.9844844252877533,4.385739803314209,0.9477234401349073,0.9782652588234292,0.9845622746621596,4.406071186065674,0.9502529510961214,0.9800880992125669,0.9853511790299363,4.5080885887146,0.9468802698145026,0.9788055703272296,0.9847705121169634,4.366351127624512,0.948566610455312,0.9781856339702373,0.9843701679566513,4.326186180114746
claims__fictional_gemini_600_full,claims__definitional_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,False,0.9566610455311974,0.0017361939529488735,0.9857022201115317,0.0011803005692464538,0.9889142570654192,0.0007348786703216685,3.871255350112915,0.047124243285959135,0.9561551433389545,0.9870694925906229,0.9897341356874428,3.844576597213745,0.9586846543001686,0.9866486183666099,0.9894680874542564,3.9406239986419678,0.9536256323777403,0.9843366538792945,0.988092198473679,3.8096914291381836,0.9578414839797639,0.9861993066950284,0.9893067748910233,3.852306842803955,0.9569983136593592,0.9842570290261028,0.9879700888206943,3.9090778827667236
claims__logical_gemini_600_full,claims__definitional_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,False,0.9573355817875211,0.002590605648522303,0.9853012521008164,0.0004702917638752541,0.9886542591844455,0.0003661924782022815,2.8288920879364015,0.06423208274012852,0.954468802698145,0.9854343393554368,0.9883833734445046,2.891136646270752,0.9553119730185498,0.9854798392715464,0.9886406783900149,2.7841410636901855,0.9561551433389545,0.984416278732486,0.9881614941339603,2.9164366722106934,0.9612141652613828,0.985821088642368,0.9892042120001356,2.7483444213867188,0.9595278246205734,0.9853547145022451,0.9888815379536117,2.8044016361236572
got__best,claims__definitional_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,False,0.9495784148397975,0.000983297115488229,0.9802086739902574,0.0002613870189643337,0.9860218332109048,0.00014792539119782137,4.650907421112061,0.07910120162053244,0.9510961214165261,0.9801023179363513,0.9859005122048573,4.793444633483887,0.9494097807757167,0.9806995043352889,0.98628320546247,4.613556385040283,0.948566610455312,0.9799487557194817,0.9858620968888097,4.6773200035095215,0.9502529510961214,0.9800625055097554,0.9860499229776422,4.595507621765137,0.948566610455312,0.9802302864504095,0.9860134285207446,4.574708461761475
sycophancy_v2__data/sycophancy_v2/llama-8b/pairs/sycophancy_pairs_26-03-02_22:30:03.csv,claims__definitional_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,False,0.7306913996627319,0.027697086229541725,0.7773012293508584,0.029194611658926,0.8205562101050686,0.028294802657463758,5.7408860206604,0.3171314240079831,0.709106239460371,0.756490136471311,0.7988437849225933,5.298649311065674,0.739460370994941,0.7891477012589259,0.8342746442624429,5.412585735321045,0.7799325463743676,0.8291364400296887,0.8688115761545101,5.965263843536377,0.7225969645868465,0.7622828445410055,0.8105320781905885,6.011051177978516,0.7023608768971332,0.7494490244533611,0.7903189669952082,6.016880035400391
claims__definitional_gemini_600_full,claims__evidential_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,False,0.9843642611683849,0.0006428964582086262,0.9988049267250032,9.416540092816627e-05,0.9988798043162292,8.040950230353612e-05,4.178659534454345,0.03380673595475937,0.9836769759450171,0.9986331054191614,0.9987335821762356,4.16829252243042,0.9845360824742269,0.99888995170109,0.9989544074011888,4.139935493469238,0.9845360824742269,0.9988751904205193,0.9989336134870302,4.186542510986328,0.9836769759450171,0.9987777659687533,0.9988545926718868,4.159286975860596,0.9853951890034365,0.9988486201154922,0.9989228258448049,4.2392401695251465
claims__fictional_gemini_600_full,claims__evidential_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,False,0.9807560137457043,0.0010309278350515427,0.9979718000495978,0.00013781693140981434,0.9980851319842777,0.0001257202002109595,4.204230117797851,0.05392122688001302,0.9802405498281787,0.9978359962683483,0.9979619760809841,4.1601033210754395,0.9802405498281787,0.9979629432812556,0.9980722783463478,4.285344123840332,0.9819587628865979,0.9978979936467449,0.9980225262423241,4.143044471740723,0.979381443298969,0.9979275162078861,0.998042926805069,4.184909820556641,0.9819587628865979,0.9982345508437548,0.9983259524466636,4.247748851776123
claims__logical_gemini_600_full,claims__evidential_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,False,0.9790378006872851,0.00139588288739449,0.9972195651917195,0.00047478079657951275,0.9975610544272376,0.00035227677319204544,2.980794668197632,0.10890239787825291,0.9785223367697594,0.9978861846222883,0.9980387955285486,3.086193323135376,0.9776632302405498,0.9966226190054439,0.9971063923806268,2.889324188232422,0.9802405498281787,0.9971569773621002,0.9975615498167344,3.1384074687957764,0.9810996563573883,0.9968145156528619,0.9972449134919017,2.906599760055542,0.9776632302405498,0.9976175293159033,0.997853620918376,2.883448600769043
got__best,claims__evidential_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,False,0.9805841924398624,0.0012857929164171574,0.9982487216731026,0.00010643528182193309,0.9983500958215078,9.588387496039796e-05,5.416658592224121,0.07012409407194385,0.9819587628865979,0.9982935959660373,0.9983912251351947,5.54320764541626,0.9802405498281787,0.9982699779171242,0.9983715622523333,5.385549068450928,0.9802405498281787,0.9982876914538091,0.9983811538075343,5.431519031524658,0.9819587628865979,0.9983496888322055,0.9984419521386587,5.387009620666504,0.9785223367697594,0.9980426541963368,0.9981645857738182,5.336007595062256
sycophancy_v2__data/sycophancy_v2/llama-8b/pairs/sycophancy_pairs_26-03-02_22:30:03.csv,claims__evidential_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,False,0.8379725085910653,0.029075901720154677,0.9024031364768957,0.021415270960546417,0.9254555707992166,0.019080359199347193,5.29314079284668,0.29101849864949625,0.8402061855670103,0.905096774955421,0.927567061793807,4.8390936851501465,0.8694158075601375,0.9239646437807774,0.9453133213583289,5.065362453460693,0.8702749140893471,0.9272032687379695,0.9470560941628158,5.603055000305176,0.8075601374570447,0.8790283534677201,0.9053687854132522,5.468818187713623,0.802405498281787,0.8767226414425904,0.9019725912678791,5.48937463760376
claims__definitional_gemini_600_full,claims__fictional_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,False,0.9276666666666668,0.003922867431979954,0.97897,0.00154813248707299,0.9809127972531051,0.001434885875485037,2.879539394378662,0.04226388125699949,0.925,0.9767444444444445,0.9789113905997152,2.8173184394836426,0.9258333333333333,0.978836111111111,0.9808279597726994,2.9217634201049805,0.935,0.9813194444444444,0.9831166840606324,2.856797695159912,0.9283333333333333,0.9798388888888889,0.9816958857772944,2.8705246448516846,0.9241666666666667,0.978111111111111,0.9800120660551843,2.931292772293091
claims__evidential_gemini_600_full,claims__fictional_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,False,0.9143333333333334,0.001333333333333364,0.9704338888888889,0.000569110742331388,0.9749545170184621,0.000552048742843564,3.046800136566162,0.030085118569691732,0.9141666666666667,0.9705527777777778,0.975081769714359,3.038832187652588,0.9125,0.9694777777777779,0.9739519446711198,3.062988758087158,0.9158333333333334,0.9706638888888889,0.9752784710413555,3.0828189849853516,0.9158333333333334,0.9712138888888888,0.9755805541355405,3.055697202682495,0.9133333333333333,0.970261111111111,0.9748798455299359,2.9936635494232178
claims__logical_gemini_600_full,claims__fictional_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,False,0.9071666666666667,0.0029154759474226757,0.9639383333333333,0.0027453065447581022,0.9689562095209249,0.002094840012245392,2.024365758895874,0.08248481199539003,0.9075,0.9643388888888889,0.9697502551076238,2.077993631362915,0.9016666666666666,0.9622861111111111,0.9672832652492931,1.9279379844665527,0.9075,0.959686111111111,0.965932019954942,2.1537632942199707,0.91,0.9675750000000001,0.9718431014363949,2.00705885887146,0.9091666666666667,0.9658055555555556,0.9699724058563711,1.9550750255584717
got__best,claims__fictional_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,False,0.9091666666666667,0.0013944333775568248,0.9652333333333333,0.00042500907760823625,0.969714590330435,0.0003707500119589547,3.3419729232788087,0.04646973381705312,0.9075,0.9652777777777778,0.96981390916023,3.432914972305298,0.9108333333333334,0.9654055555555555,0.9699077665494744,3.3221137523651123,0.91,0.9659083333333334,0.9702530425755866,3.335026979446411,0.9075,0.9648833333333333,0.9693487606774559,3.306208610534668,0.91,0.9646916666666666,0.969249472689428,3.3136003017425537
sycophancy_v2__data/sycophancy_v2/llama-8b/pairs/sycophancy_pairs_26-03-02_22:30:03.csv,claims__fictional_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,False,0.6051666666666666,0.018472201336663226,0.599893888888889,0.03316651588463776,0.6496552767534239,0.03136088630018532,5.607163143157959,0.3431095201173783,0.6,0.5947777777777778,0.6428312520451998,5.12328577041626,0.6233333333333333,0.6328527777777778,0.6795819190108845,5.282233238220215,0.6258333333333334,0.6371722222222223,0.6862952447963628,5.949849605560303,0.6016666666666667,0.5882805555555555,0.6403786336610156,5.73336935043335,0.575,0.546386111111111,0.5991893342536572,5.947077751159668
claims__definitional_gemini_600_full,claims__logical_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,False,0.7304347826086957,0.006507230237867698,0.8076564083175801,0.005758469785054555,0.8286343675217929,0.004038731547451129,1.839496946334839,0.12684664959305367,0.7217391304347827,0.8013671077504726,0.8246365593336916,1.7759759426116943,0.731304347826087,0.8103954631379962,0.8306331291102513,1.9672452211380005,0.7417391304347826,0.8168771266540642,0.8351345139767672,1.6214990615844727,0.7295652173913043,0.8077913043478262,0.8285282744572497,1.8970167636871338,0.7278260869565217,0.8018510396975425,0.8242393607310041,1.935747742652893
claims__evidential_gemini_600_full,claims__logical_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,False,0.724,0.004100809086104897,0.7969403402646503,0.0029171621129668686,0.8206999717108665,0.0024854565519745126,1.5939039945602418,0.016556621207228353,0.7252173913043478,0.7997701323251418,0.8234957126094425,1.5764696598052979,0.72,0.7992771266540644,0.8224371200295857,1.615187644958496,0.7252173913043478,0.7921542533081285,0.8171415421432575,1.5866421461105347,0.7304347826086957,0.798496786389414,0.8220723672667788,1.6122701168060303,0.7191304347826087,0.7950034026465028,0.8183531165052682,1.5789504051208496
claims__fictional_gemini_600_full,claims__logical_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,False,0.7281739130434783,0.004781818116475651,0.7940004536862004,0.0026289108899357283,0.8150242806514661,0.002596926349249629,1.586223578453064,0.03901180751899187,0.7234782608695652,0.7903485822306238,0.8120020285087153,1.6380664110183716,0.7260869565217392,0.7928922495274101,0.8143856543336399,1.5934200286865234,0.7269565217391304,0.7961345935727788,0.8156655565805186,1.5584917068481445,0.7269565217391304,0.7928650283553875,0.8134350460842978,1.5280786752700806,0.7373913043478261,0.7977618147448016,0.819633117750159,1.6130610704421997
got__best,claims__logical_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,False,0.7387826086956523,0.002371857686432342,0.8191863894139886,0.0013067352742826368,0.8272185625208144,0.001387414994593486,3.7023785591125487,0.06804532840555941,0.74,0.821041965973535,0.8286508592836812,3.823840379714966,0.7408695652173913,0.8195689981096408,0.8269910287030228,3.698758602142334,0.7373913043478261,0.8183243856332703,0.8265579859328411,3.7122931480407715,0.7408695652173913,0.8197746691871455,0.8288088502588256,3.630575656890869,0.7347826086956522,0.8172219281663515,0.8250840884257011,3.6464250087738037
sycophancy_v2__data/sycophancy_v2/llama-8b/pairs/sycophancy_pairs_26-03-02_22:30:03.csv,claims__logical_gemini_600_full,last,last,llama-8b,15,lr,0.001,True,False,False,0.6558260869565218,0.00639943286712143,0.7098939886578449,0.007753697331261263,0.734338791241048,0.009147426938315216,4.304260635375977,0.3478179608786105,0.6565217391304348,0.7065557655954631,0.7319648211295449,3.8184902667999268,0.6669565217391304,0.7252007561436672,0.7516776633118414,3.9455902576446533,0.6504347826086957,0.7062744801512287,0.7336620492626916,4.575719356536865,0.648695652173913,0.7038215500945181,0.7250071164919738,4.5559282302856445,0.6565217391304348,0.7076173913043478,0.729382306009188,4.625575065612793
claims__definitional_gemini_600_full,got__best,last,last,llama-8b,15,lr,0.001,True,False,False,0.9544016110471807,0.013913466385896123,0.9922969572051523,0.0036720283223489578,0.9928720073446053,0.0034345113504741574,3.376663064956665,0.2137656243644511,0.94807249712313,0.990921886193805,0.991655236370462,3.410623788833618,0.9571346375143843,0.9932558255789163,0.9937511210075878,3.512701988220215,0.9309551208285386,0.9858984541044891,0.9868578067350474,2.9631600379943848,0.9695051783659379,0.9961774707645125,0.9964851491548544,3.434433937072754,0.9663406214039125,0.9952311493840384,0.9956107234550743,3.5623955726623535
claims__evidential_gemini_600_full,got__best,last,last,llama-8b,15,lr,0.001,True,False,False,0.9657364787111622,0.009977970493776361,0.9949433299653982,0.0022859984518504837,0.9953159605922949,0.0021847188740317615,3.025618314743042,0.12962050712722575,0.9738204833141542,0.9967113800898086,0.9970135107984684,3.070195436477661,0.9736766398158804,0.9966977240614915,0.9970255008164803,3.2034106254577637,0.9479286536248561,0.9907435301876025,0.9913283845829018,3.099961757659912,0.9615937859608745,0.9942677786591205,0.9946083220943469,2.898045778274536,0.971662830840046,0.9962962368289676,0.9966040846692766,2.856477975845337
claims__fictional_gemini_600_full,got__best,last,last,llama-8b,15,lr,0.001,True,False,False,0.8851265822784808,0.0012981028967409154,0.9473612084045655,0.014284023490178537,0.9469745046486763,0.016101236273115917,2.6320659637451174,0.13013074803524485,0.883199079401611,0.9226627666153311,0.9189459014752295,2.6387438774108887,0.8847813578826237,0.9604723363627095,0.9616200444385632,2.8762567043304443,0.8855005753739931,0.9489166052007455,0.9490512322386856,2.5504415035247803,0.8872266973532796,0.9427461494965974,0.9419523457588739,2.5922322273254395,0.8849252013808976,0.9620081843474437,0.963302999332029,2.502655506134033
claims__logical_gemini_600_full,got__best,last,last,llama-8b,15,lr,0.001,True,False,False,0.9963463751438436,0.0006722279312743254,0.9997472227776594,6.157229945815234e-05,0.9997866448208701,5.115870068672917e-05,2.3158875942230224,0.0999609387593481,0.9955408515535098,0.9996377428124599,0.9996959005058244,2.46075701713562,0.9968354430379747,0.9998010358056096,0.9998298308478594,2.225973129272461,0.9955408515535098,0.9997284519460088,0.9997691745591701,2.412698745727539,0.9966915995397008,0.9997626333987057,0.9998023226256016,2.240398645401001,0.9971231300345225,0.9998062499255125,0.9998359955658945,2.239610433578491
sycophancy_v2__data/sycophancy_v2/llama-8b/pairs/sycophancy_pairs_26-03-02_22:30:03.csv,got__best,last,last,llama-8b,15,lr,0.001,True,False,False,0.9106156501726123,0.017901576197010473,0.9688326396622706,0.008237563552940431,0.9709679763339578,0.007303257437892905,4.2075244903564455,0.29446556735628077,0.9332566168009206,0.9791480723978064,0.9799149796030516,3.8464953899383545,0.9178653624856157,0.9751888173515316,0.9767616773265871,3.8613784313201904,0.879746835443038,0.955522564062498,0.9590053796873823,4.490222454071045,0.9046317606444189,0.9649530033992751,0.9678311599792697,4.337964057922363,0.9175776754890679,0.9693507411002423,0.9713266850734981,4.501562118530273
claims__definitional_gemini_600_full,sycophancy_v2__data/sycophancy_v2/llama-8b/pairs/sycophancy_pairs_26-03-02_22:30:03.csv,last,last,llama-8b,15,lr,0.001,True,False,False,0.6961630695443646,0.008197441072008267,0.7529295987670295,0.005394892940658408,0.7440934435819908,0.0062656135364284075,0.8728681623935699,0.28534346670579575,0.6930455635491607,0.7528854614150406,0.7477545141111539,0.6874592900276184,0.6822541966426858,0.7458623029633846,0.7390359004047595,1.238673210144043,0.697242206235012,0.7484889786012916,0.7354715971754031,0.49176689982414246,0.7056354916067147,0.7565688456429103,0.745053665549225,1.164969563484192,0.7026378896882494,0.7608424052125207,0.7531515406694127,0.781471848487854
