id,subject,model_name,correct_answer,model_answer,correct_prob,prob_A,prob_B,prob_C,prob_D
abstract_algebra_0,abstract_algebra,olmo3-7b-purebase,B,B,0.32666015625,0.1668701171875,0.32666015625,0.306884765625,0.19970703125
abstract_algebra_1,abstract_algebra,olmo3-7b-purebase,C,A,0.259765625,0.291015625,0.28857421875,0.259765625,0.16064453125
abstract_algebra_2,abstract_algebra,olmo3-7b-purebase,D,C,0.206298828125,0.1900634765625,0.28369140625,0.320068359375,0.206298828125
abstract_algebra_3,abstract_algebra,olmo3-7b-purebase,B,B,0.329833984375,0.2529296875,0.329833984375,0.2489013671875,0.16845703125
abstract_algebra_4,abstract_algebra,olmo3-7b-purebase,B,C,0.2230224609375,0.286376953125,0.2230224609375,0.334716796875,0.15576171875
abstract_algebra_5,abstract_algebra,olmo3-7b-purebase,A,B,0.254150390625,0.254150390625,0.35009765625,0.264404296875,0.13134765625
abstract_algebra_6,abstract_algebra,olmo3-7b-purebase,A,B,0.26171875,0.26171875,0.3662109375,0.228271484375,0.1439208984375
abstract_algebra_7,abstract_algebra,olmo3-7b-purebase,D,B,0.159912109375,0.25634765625,0.2998046875,0.283935546875,0.159912109375
abstract_algebra_8,abstract_algebra,olmo3-7b-purebase,B,C,0.32666015625,0.155517578125,0.32666015625,0.373046875,0.1448974609375
abstract_algebra_9,abstract_algebra,olmo3-7b-purebase,C,B,0.27978515625,0.2322998046875,0.330810546875,0.27978515625,0.1572265625
abstract_algebra_10,abstract_algebra,olmo3-7b-purebase,C,B,0.248779296875,0.272216796875,0.34130859375,0.248779296875,0.137939453125
abstract_algebra_11,abstract_algebra,olmo3-7b-purebase,C,B,0.1890869140625,0.263671875,0.27734375,0.1890869140625,0.269775390625
abstract_algebra_12,abstract_algebra,olmo3-7b-purebase,A,B,0.22509765625,0.22509765625,0.313720703125,0.28662109375,0.174560546875
