train_dataset,test_dataset,train_feature_type,test_feature_type,model_name,layer_idx,probe_type,regularization,use_scaler,balance_groups,is_cv_result,avg_max_acc,std_max_acc,avg_auroc,std_auroc,avg_auprc,std_auprc,avg_avg_abs_score,std_avg_abs_score,fold_1_max_acc,fold_1_auroc,fold_1_auprc,fold_1_avg_abs_score,fold_2_max_acc,fold_2_auroc,fold_2_auprc,fold_2_avg_abs_score,fold_3_max_acc,fold_3_auroc,fold_3_auprc,fold_3_avg_abs_score,fold_4_max_acc,fold_4_auroc,fold_4_auprc,fold_4_avg_abs_score,fold_5_max_acc,fold_5_auroc,fold_5_auprc,fold_5_avg_abs_score
claims__definitional_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b,18,lr,0.001,True,False,True,0.9595397652731978,0.009774279274362078,0.9884988737805319,0.005958476853204895,0.9893478415713386,0.005455656916935162,3.74176244538762,0.09633044964648317,0.9453781512605042,0.9780804426473718,0.9799642269569897,3.652580931724743,0.9578059071729957,0.9856651376146789,0.986462322024227,3.8522391986710858,0.9704641350210971,0.9924963924963924,0.9923349959186616,3.669067125831511,0.9704641350210971,0.9920920201294032,0.9935188049050262,3.86654257582808,0.9535864978902954,0.9941603760148128,0.9944588580517885,3.66838239488268
claims__evidential_gemini_600_full,claims__evidential_gemini_600_full,last,last,olmo3-7b,18,lr,0.001,True,False,True,0.955327808198905,0.011701400700023352,0.9915992159215168,0.003950185558537291,0.9921492676103094,0.003549245892636667,3.8561546820580985,0.056804144305537964,0.9656652360515021,0.9951370468611849,0.9954601581611259,3.7955298680422063,0.9399141630901288,0.9857795461243738,0.9873626599462477,3.863566449431173,0.944206008583691,0.9884303610906411,0.9890028037259132,3.9611603359557574,0.9699570815450643,0.9961600945207503,0.9965254984553975,3.834490827353338,0.9568965517241379,0.9924890310106345,0.9923952177628633,3.8260259295080195
claims__fictional_gemini_600_full,claims__fictional_gemini_600_full,last,last,olmo3-7b,18,lr,0.001,True,False,True,0.9191666666666667,0.013591255358583406,0.9728091493694538,0.004620860486404924,0.9755308011588637,0.0040492029406048935,2.8130785457329486,0.0434677069105887,0.9291666666666667,0.9762086956521738,0.9764411509590785,2.8018169661743686,0.9208333333333333,0.9715099715099715,0.9751786886780134,2.7344002321179364,0.9,0.968741317032509,0.9694232193927899,2.8295260118318897,0.9083333333333333,0.9676677583443662,0.9745420085298717,2.8587415959607805,0.9375,0.9799180043082483,0.9820689382345656,2.840907922579771
claims__logical_gemini_600_full,claims__logical_gemini_600_full,last,last,olmo3-7b,18,lr,0.001,True,False,True,0.8791304347826088,0.021895092716546365,0.9402939161315631,0.008705759733787085,0.9492124276846752,0.007233006992548837,2.39080043515108,0.1901384216541843,0.8913043478260869,0.9397333333333333,0.9401564387678655,2.3432327260939263,0.8391304347826087,0.9256060606060605,0.9406120528648614,2.1894509942474714,0.8782608695652174,0.9470058293587706,0.9540719293261335,2.753018008377213,0.9043478260869565,0.9381818181818181,0.9553763672356519,2.347164625899889,0.8826086956521739,0.9509425391778332,0.9558453502288636,2.3211358211369
got__best,got__best,last,last,olmo3-7b,18,lr,0.001,True,False,True,0.976552658663867,0.0033667420978778584,0.9964767867216493,0.0015832487508793656,0.9960651058958241,0.0022073313718027434,4.603860296064681,0.0583659014915681,0.9820273184759166,0.9983709584056892,0.9984180685632856,4.666267219776733,0.9769949676491733,0.9970642353573571,0.9971467627641192,4.5632479791626706,0.9776978417266187,0.99768875192604,0.9978699624247305,4.5299278331804125,0.9726618705035971,0.994236132245983,0.9928658930048914,4.678218564473785,0.9733812949640288,0.9950238556731772,0.994024842722094,4.581639883729808
sycophancy_v2__data/sycophancy_v2/olmo3-7b/pairs/sycophancy_pairs_26-03-03_02:24:05.csv,sycophancy_v2__data/sycophancy_v2/olmo3-7b/pairs/sycophancy_pairs_26-03-03_02:24:05.csv,last,last,olmo3-7b,18,lr,0.001,True,False,True,0.8753355704697986,0.010679841650015126,0.9404020793290755,0.008496696197498918,0.9421053677639101,0.011780566354776489,1.8723646963146936,0.08408913892652087,0.8691275167785235,0.9354083149407684,0.9428533250346678,1.8825527144262382,0.8825503355704698,0.9472996711859826,0.9510330279162071,1.8807960769753855,0.8918918918918919,0.9517896274653032,0.9535292150873441,1.9523576231993447,0.8614864864864865,0.9278214024835647,0.9201418680818545,1.932417961056141,0.8716216216216216,0.9396913805697589,0.942969402699477,1.7136991059163578
claims__evidential_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b,18,lr,0.001,True,False,False,0.942158516020236,0.0015638479756316258,0.9783881085969248,0.00036501277945673316,0.9831590566449362,0.00030586316197894986,3.5456393241882322,0.06495744740681543,0.9401349072512648,0.9781259153303435,0.9826769686697433,3.5081422328948975,0.9409780775716695,0.9788766639461509,0.9835724751129625,3.5877251625061035,0.9443507588532883,0.9786605393446306,0.9833830663257399,3.6509928703308105,0.9435075885328836,0.9778557595784433,0.9830482798980517,3.470956802368164,0.9418212478920742,0.9784216647850557,0.9831144932181842,3.5103795528411865
claims__fictional_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b,18,lr,0.001,True,False,False,0.9468802698145025,0.001922724156996875,0.9828368628945341,0.0008890959682523109,0.9856654261955049,0.00044794294458712125,3.476859140396118,0.056301616399595585,0.9468802698145026,0.9828749690742759,0.9854741457084183,3.443772792816162,0.948566610455312,0.9830996249100666,0.985844017990143,3.5347726345062256,0.9443507588532883,0.9828095629448683,0.9855917741687641,3.5287370681762695,0.9494097807757167,0.9840864043406921,0.9863889013299013,3.384805917739868,0.945193929173693,0.9813137532027676,0.9850282917802974,3.4922072887420654
claims__logical_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b,18,lr,0.001,True,False,False,0.9436762225969645,0.00370994940978079,0.9823403450599887,0.0012916036991068558,0.9836170929689461,0.000980709746410956,2.719494342803955,0.07187648252886715,0.9468802698145026,0.9826048133223755,0.9831561923560356,2.7233364582061768,0.9468802698145026,0.9829119377561147,0.9838696681096668,2.707505226135254,0.9367622259696459,0.979903255803372,0.9820326512261157,2.7913012504577637,0.9443507588532883,0.9837423112251137,0.9849691473330265,2.783815622329712,0.9435075885328836,0.9825394071929681,0.9840578058198859,2.591513156890869
got__best,claims__definitional_gemini_600_full,last,last,olmo3-7b,18,lr,0.001,True,False,False,0.8974704890387859,0.006630557588983989,0.9558298189387713,0.005391049656740665,0.9574168693824147,0.004842225412653766,2.835478925704956,0.11482633570807767,0.8946037099494097,0.9509112780073312,0.952417313726375,2.7713212966918945,0.9021922428330523,0.9590642942252074,0.9594383960676195,2.6890203952789307,0.8870151770657673,0.9489576253593783,0.9515933591148805,2.821486473083496,0.897133220910624,0.9564452053041527,0.9590331471700837,2.8613574504852295,0.9064080944350759,0.9637706917977871,0.9646021308331155,3.0342090129852295
