train_dataset,test_dataset,train_feature_type,test_feature_type,model_name,layer_idx,probe_type,regularization,use_scaler,balance_groups,is_cv_result,avg_max_acc,std_max_acc,avg_auroc,std_auroc,avg_auprc,std_auprc,avg_avg_abs_score,std_avg_abs_score,fold_1_max_acc,fold_1_auroc,fold_1_auprc,fold_1_avg_abs_score,fold_2_max_acc,fold_2_auroc,fold_2_auprc,fold_2_avg_abs_score,fold_3_max_acc,fold_3_auroc,fold_3_auprc,fold_3_avg_abs_score,fold_4_max_acc,fold_4_auroc,fold_4_auprc,fold_4_avg_abs_score,fold_5_max_acc,fold_5_auroc,fold_5_auprc,fold_5_avg_abs_score
claims__definitional_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.0001,True,False,True,0.9603907385739106,0.01314090911153968,0.9913440553579551,0.005086799068869824,0.9917665259793946,0.005272871300971196,2.036658585015016,0.09058057627740136,0.9369747899159664,0.9814144853514932,0.9819133376643934,1.8894804877711358,0.9620253164556962,0.9933342889908257,0.9947653007622538,2.0341265201756773,0.9578059071729957,0.992063492063492,0.9906588263571693,2.0782976589141144,0.9704641350210971,0.994608195542775,0.9958290295310197,2.1674499360770585,0.9746835443037974,0.9952998148411907,0.9956661355821362,2.013938322137093
claims__evidential_gemini_600_full,claims__evidential_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.0001,True,False,True,0.9432958413497115,0.0074087410029606,0.9872330151823021,0.0032586886914062474,0.9882364869402609,0.0032369017541991336,1.9765097391155346,0.03005475099716459,0.944206008583691,0.9893899204244032,0.9899273877507345,1.9685928408752522,0.9527896995708155,0.991158267020336,0.9921416622779654,1.9631651094700295,0.9313304721030042,0.9827560795873249,0.9838376914768652,2.0354736995660945,0.9484978540772532,0.9888495052429479,0.9903035531472432,1.9642992504559091,0.9396551724137931,0.9840113036364988,0.9849721400484964,1.9510177952103884
claims__fictional_gemini_600_full,claims__fictional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.0001,True,False,True,0.9033333333333333,0.014529663145135607,0.960247560908666,0.007143167966130459,0.9610590263976968,0.005239432874126326,1.2835378716548043,0.05528084060495108,0.9125,0.9690434782608695,0.9643695990637609,1.2925464289575326,0.8875,0.9613647418525467,0.9628513528040403,1.3354816192243353,0.9041666666666667,0.9590858571825507,0.953211086473985,1.1775808868181536,0.8875,0.9475994704201798,0.9570590160787019,1.294617505550359,0.925,0.9641442568271836,0.9678040775679961,1.3174629177236397
claims__logical_gemini_600_full,claims__logical_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.0001,True,False,True,0.8634782608695651,0.023429901887491257,0.9192248349954232,0.019415081572811136,0.9298765640783934,0.020599008987524942,0.9408292984311656,0.037233994730614076,0.8391304347826087,0.8902857142857142,0.8971458787059586,0.907497814812642,0.8652173913043478,0.9139393939393938,0.9178457354375417,0.8988054246712603,0.8869565217391304,0.9373154667272313,0.9520955394381316,1.0038350531820646,0.8347826086956521,0.9105303030303029,0.9322655092978236,0.9448973750669938,0.8913043478260869,0.9440532969944735,0.9500301575125113,0.9491108244228671
got__best,got__best,last,last,olmo3-7b-purebase,18,lr,0.0001,True,False,True,0.9897870689788931,0.0029616584157970975,0.9990618095351514,0.0004258454801649684,0.9989962218116396,0.00048302968113380664,3.8971290211319856,0.030680868399557512,0.9935298346513299,0.9989456710493674,0.9988106701344278,3.9506394081986627,0.9863407620416966,0.9989145940581778,0.9987914683729481,3.8574317260240014,0.9906474820143885,0.9993828387759498,0.9994147900715744,3.8978552825427952,0.9920863309352518,0.9996521803941542,0.9996583432166339,3.8808838831220323,0.9863309352517986,0.9984137633981082,0.9983058372626146,3.898834805772433
sycophancy_v2__data/sycophancy_v2/olmo3-7b/pairs/sycophancy_pairs_26-03-03_02:24:05.csv,sycophancy_v2__data/sycophancy_v2/olmo3-7b/pairs/sycophancy_pairs_26-03-03_02:24:05.csv,last,last,olmo3-7b-purebase,18,lr,0.0001,True,False,True,0.8625113368401959,0.014269168034136531,0.9328171418222299,0.012912900308298017,0.933881675834721,0.012844189493468192,0.8821701860642674,0.05112311580571482,0.8758389261744967,0.9383361109859916,0.9402712545971017,0.8654585580487473,0.8657718120805369,0.9400027025809649,0.9375853736771894,0.862110648653483,0.8783783783783784,0.9483655953250547,0.9501975533973774,0.9784692271130606,0.8513513513513513,0.9261322132943755,0.9294916421790335,0.8782994133876538,0.8412162162162162,0.9112490869247626,0.9118625553229032,0.8265130831183928
claims__evidential_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.0001,True,False,False,0.93929173693086,0.0013062338435775637,0.974808971445959,0.0013772471646791929,0.9807129102128481,0.000840564857810419,1.9642937183380127,0.021228382458335048,0.9367622259696459,0.9727683002084466,0.9793098960841885,1.9877729415893555,0.9401349072512648,0.9761125440424969,0.9815899653405361,1.9495785236358643,0.93929173693086,0.9762689500041235,0.981407447609833,1.9889782667160034,0.9401349072512648,0.9736640798068529,0.9802423047421485,1.9601527452468872,0.9401349072512648,0.9752309831678747,0.9810149372875351,1.9349861145019531
claims__fictional_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.0001,True,False,False,0.9386172006745361,0.0012392022307503637,0.9718315706855416,0.0012777114499581176,0.978031997855118,0.0009616109592704112,1.6154009103775024,0.02224792928360794,0.9409780775716695,0.9742641099505474,0.9798549536056907,1.5889567136764526,0.9384485666104553,0.9717274896274409,0.9780715478278598,1.5938626527786255,0.9376053962900506,0.9713322091062395,0.9774981060763634,1.6189230680465698,0.9376053962900506,0.9713123028929416,0.9771116651245695,1.625163197517395,0.9384485666104553,0.9705217418505385,0.9776237166411073,1.6500989198684692
claims__logical_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.0001,True,False,False,0.932883642495784,0.004480718467314143,0.9745991030829038,0.0024670395583276396,0.9796799302799938,0.001832772985238883,1.003246295452118,0.024123638931946374,0.9308600337268128,0.9729702060861825,0.9783547580954932,0.9800331592559814,0.9367622259696459,0.9763485748573152,0.980829853372515,1.030716896057129,0.9258010118043845,0.9714829275783522,0.9772468693865218,0.9694210886955261,0.9325463743676222,0.9738034232999383,0.9795016120287154,1.0222132205963135,0.9384485666104553,0.9783903835927302,0.9824665585167233,1.0138471126556396
got__best,claims__definitional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.0001,True,False,False,0.9330522765598651,0.002037613149004152,0.9795893063822163,0.000548259239207962,0.9826474971958368,0.0004270281054741132,2.4796196937561037,0.03245850957491291,0.9317032040472175,0.9792122258274586,0.9824297781675492,2.4359512329101562,0.9342327150084317,0.9797440060969888,0.9827458313218502,2.503873109817505,0.9359190556492412,0.9803013800693304,0.9831358378334233,2.5271034240722656,0.9333895446880269,0.9799402244852111,0.9829865425335298,2.473458766937256,0.9300168634064081,0.9787486954320928,0.9819394961228313,2.457711935043335
