train_dataset,test_dataset,train_feature_type,test_feature_type,model_name,layer_idx,probe_type,regularization,use_scaler,balance_groups,is_cv_result,avg_max_acc,std_max_acc,avg_auroc,std_auroc,avg_auprc,std_auprc,avg_avg_abs_score,std_avg_abs_score,fold_1_max_acc,fold_1_auroc,fold_1_auprc,fold_1_avg_abs_score,fold_2_max_acc,fold_2_auroc,fold_2_auprc,fold_2_avg_abs_score,fold_3_max_acc,fold_3_auroc,fold_3_auprc,fold_3_avg_abs_score,fold_4_max_acc,fold_4_auroc,fold_4_auprc,fold_4_avg_abs_score,fold_5_max_acc,fold_5_auroc,fold_5_auprc,fold_5_avg_abs_score
claims__definitional_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.001,True,False,True,0.9764032195156546,0.007294576743260606,0.9961720845992552,0.0024139774403480717,0.9960938214078586,0.0027582565653296895,3.875531065911512,0.19393506155377685,0.9621848739495799,0.9916294247002908,0.9911556509549678,3.5631764821318335,0.9789029535864979,0.9972047018348624,0.9978494362376107,3.9476377969552567,0.9789029535864979,0.9958874458874458,0.9950150200855623,3.892517428024185,0.9831223628691983,0.9983465132997843,0.9986299574908641,4.160479281106968,0.9789029535864979,0.9977923372738926,0.9978190422702881,3.8138443413393164
claims__evidential_gemini_600_full,claims__evidential_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.001,True,False,True,0.9544620393665827,0.009274154355676965,0.9912982534345487,0.0028114331646939333,0.9918749560735204,0.0025647917140494,3.754438405414956,0.0867882266807101,0.9570815450643777,0.9927055702917771,0.9929315806748882,3.697943312013253,0.9656652360515021,0.9954317712938402,0.9956405552808754,3.761772060733095,0.9399141630901288,0.986882829771555,0.9881556424784015,3.914120773279815,0.9613733905579399,0.9911386796632697,0.9925791065288202,3.7366586476036194,0.9482758620689655,0.9903324161523016,0.9900678954046166,3.661697233444998
claims__fictional_gemini_600_full,claims__fictional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.001,True,False,True,0.9233333333333335,0.013070322617798433,0.9719892381752349,0.004029529033997496,0.9729104356796613,0.001973372896569899,2.6027419248517876,0.11369586681056414,0.9333333333333333,0.9787826086956521,0.9760446708603078,2.6212173436717734,0.9,0.9694948231533598,0.972085778542046,2.720417784920818,0.9375,0.9740900250069464,0.9702078964665802,2.406287147082201,0.9208333333333333,0.967389032123197,0.9722162463079856,2.5620697171576725,0.925,0.9701897018970189,0.9739975862213864,2.7037176314264726
claims__logical_gemini_600_full,claims__logical_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.001,True,False,True,0.8791304347826088,0.016816590961577147,0.9358044861974273,0.013624978211808808,0.9428357094143065,0.01661568279775462,2.0574346806638446,0.10729895219449725,0.8782608695652174,0.9228952380952381,0.9237026296759813,1.9918263054153698,0.8652173913043478,0.9199242424242424,0.9228789631944451,1.9298787419819459,0.8956521739130435,0.9470815353168294,0.9620572186902706,2.243340355383654,0.8565217391304348,0.9338636363636362,0.9478091877877909,2.026400723593385,0.9,0.9552577787871905,0.9577305477230441,2.0957272769448667
got__best,got__best,last,last,olmo3-7b-purebase,18,lr,0.001,True,False,True,0.9907939529038163,0.0031646936587736564,0.9992980682841773,0.00037600630516625817,0.9992551700831107,0.0004259463842215579,5.977788166939287,0.07304345221120828,0.9942487419122933,0.9992950467212437,0.9992260084646886,6.11375487916439,0.9877785765636233,0.9992495193202258,0.9992070758974717,5.911860425080299,0.9920863309352518,0.9995692297496562,0.9995913323780373,5.951992599143181,0.9935251798561151,0.9997391352956156,0.9997411300266982,5.922506512990592,0.9863309352517986,0.9986374103341451,0.9985103036486582,5.9888264183179745
sycophancy_v2__data/sycophancy_v2/olmo3-7b/pairs/sycophancy_pairs_26-03-03_02:24:05.csv,sycophancy_v2__data/sycophancy_v2/olmo3-7b/pairs/sycophancy_pairs_26-03-03_02:24:05.csv,last,last,olmo3-7b-purebase,18,lr,0.001,True,False,True,0.905636676945402,0.013134840936970427,0.9613491871314899,0.005128756177792078,0.9643766261401462,0.004700348487065713,2.002593700354839,0.11962264392940411,0.9060402684563759,0.9608576190261701,0.9632056479090029,1.9797427287973695,0.9228187919463087,0.968559974775911,0.968722042151322,1.9382736118040407,0.9155405405405406,0.9656227173119065,0.9708282090168162,2.225841768216965,0.8851351351351351,0.9564006574141708,0.960626510612596,1.9969670070076835,0.8986486486486487,0.9553049671292915,0.9585007210109942,1.8721433859481393
sycophancy_v2__data/sycophancy_v2/olmo3-7b-purebase/pairs/sycophancy_pairs_onpolicy_26-03-03_05:25:36.csv,sycophancy_v2__data/sycophancy_v2/olmo3-7b-purebase/pairs/sycophancy_pairs_onpolicy_26-03-03_05:25:36.csv,last,last,olmo3-7b-purebase,18,lr,0.001,True,False,True,0.9071942446043165,0.007336718724593937,0.9636147197350035,0.006009627601168729,0.967107434692578,0.004788108564860273,1.98596893525513,0.08031144289345372,0.8992805755395683,0.9557993892655661,0.9608192513802982,2.0838623703682573,0.9064748201438849,0.9569380466849542,0.962326967490357,1.9950458775094713,0.9136690647482014,0.9702396356296258,0.9733486774505841,1.8398459148906317,0.9172661870503597,0.9677552921691424,0.970424121991493,1.9902854734665925,0.8992805755395683,0.9673412349257284,0.9686181551501576,2.020805040040698
claims__evidential_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.001,True,False,False,0.948735244519393,0.0020236087689713355,0.9838981484377888,0.002624198909722241,0.9869988050768063,0.0016394634948365965,3.821648645401001,0.06224707847320855,0.945193929173693,0.9791866321246471,0.9840325409416488,3.9013428688049316,0.9510961214165261,0.9856106515303611,0.9881784924021829,3.8078596591949463,0.9502529510961214,0.9866201809190415,0.9885815751594056,3.8851773738861084,0.948566610455312,0.9830740312072549,0.9864995063429537,3.7714180946350098,0.948566610455312,0.9849992464076395,0.9877019105378398,3.742445230484009
claims__fictional_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.001,True,False,False,0.9532883642495784,0.002801559481591249,0.9805749483149391,0.0022514187115841144,0.9850943593934289,0.0013279586406858375,3.5453642845153808,0.044733675735599776,0.9578414839797639,0.9836342489243536,0.9871943462085195,3.506512403488159,0.9527824620573356,0.9795392564744959,0.9843998990468081,3.5277695655822754,0.9494097807757167,0.9804549422862001,0.9847191820476496,3.5197913646698,0.954468802698145,0.9821810953536054,0.9858546422524189,3.5407183170318604,0.9519392917369308,0.9770651985360402,0.9833037274117482,3.6320297718048096
claims__logical_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.001,True,False,False,0.9347386172006746,0.0061406885180550356,0.9755096701540455,0.003952258520542023,0.9805955067149318,0.002732126909272462,2.3989086151123047,0.07435232171797401,0.9266441821247892,0.9709568347983359,0.9771134941487647,2.314356803894043,0.9409780775716695,0.9789420700755584,0.9828847497519375,2.5063953399658203,0.9283305227655987,0.97308964336597,0.978530617804718,2.3352584838867188,0.9367622259696459,0.9731891744324597,0.9799453442076612,2.3742177486419678,0.9409780775716695,0.9813706280979044,0.9845033276615777,2.4643146991729736
