train_dataset,test_dataset,train_feature_type,test_feature_type,model_name,layer_idx,probe_type,regularization,use_scaler,balance_groups,is_cv_result,avg_max_acc,std_max_acc,avg_auroc,std_auroc,avg_auprc,std_auprc,avg_avg_abs_score,std_avg_abs_score,fold_1_max_acc,fold_1_auroc,fold_1_auprc,fold_1_avg_abs_score,fold_2_max_acc,fold_2_auroc,fold_2_auprc,fold_2_avg_abs_score,fold_3_max_acc,fold_3_auroc,fold_3_auprc,fold_3_avg_abs_score,fold_4_max_acc,fold_4_auroc,fold_4_auprc,fold_4_avg_abs_score,fold_5_max_acc,fold_5_auroc,fold_5_auprc,fold_5_avg_abs_score
claims__definitional_gemini_600_full,claims__definitional_gemini_600_full,last,last,llama-8b-base,15,lr,0.001,True,False,True,0.9688153742509662,0.012639780624197575,0.9922634432717865,0.004399438757897352,0.9923157632855482,0.0049243438522233686,3.8770203261955936,0.14792204492575017,0.9537815126050421,0.984961339292048,0.9840208365259268,3.634289409659684,0.9789029535864979,0.9963446100917431,0.9969213889840877,4.067651599741806,0.9746835443037974,0.9930014430014431,0.9930053746856873,3.800536005368435,0.9831223628691983,0.9969086987778577,0.9974386994023338,3.9374842948435043,0.9535864978902954,0.9901011251958409,0.9901925168297048,3.94514032136454
claims__evidential_gemini_600_full,claims__evidential_gemini_600_full,last,last,llama-8b-base,15,lr,0.001,True,False,True,0.970793251442948,0.007857513675613976,0.9949965147434074,0.002011032789082434,0.9954920708926782,0.0016756509892752675,4.125094206503145,0.1536997034332137,0.9785407725321889,0.9931476569407605,0.9943610353008007,4.0146791056389795,0.9785407725321889,0.9975685234305923,0.9976118010107775,4.0226468769727415,0.9613733905579399,0.9932203389830508,0.9935409125268548,4.32174524097119,0.9613733905579399,0.9937232314281494,0.9945597352308202,4.301467563739124,0.9741379310344828,0.9973228229344835,0.9973868703941374,3.9649322451936886
claims__fictional_gemini_600_full,claims__fictional_gemini_600_full,last,last,llama-8b-base,15,lr,0.001,True,False,True,0.9450000000000001,0.010341394704992382,0.983085158417927,0.006439597251768861,0.985044212878913,0.004296882822432926,3.1047335519176067,0.20362131768776587,0.9625,0.9911652173913045,0.9909227112843458,2.859843974516517,0.9333333333333333,0.9795010770620527,0.9799419706305974,3.4080130680803515,0.9375,0.981939427618783,0.9834588418138938,2.895297522970917,0.9416666666666667,0.973590690544213,0.9816483982718327,3.1868869868880254,0.95,0.9892293794732819,0.9892491423938945,3.173626207132223
claims__logical_gemini_600_full,claims__logical_gemini_600_full,last,last,llama-8b-base,15,lr,0.001,True,False,True,0.7808695652173913,0.017521253634443387,0.8550988045340986,0.024195416161185933,0.8679603186627627,0.02845310985558703,1.3469615577013223,0.07451098350859514,0.7565217391304347,0.8182857142857143,0.8142447578432332,1.3316059909950408,0.7869565217391304,0.8573484848484848,0.8819666579116717,1.2262083576599059,0.8043478260869565,0.8809902339314104,0.8956939812952714,1.4458435893014068,0.7652173913043478,0.8387121212121211,0.8660267585984911,1.3304200288185768,0.7913043478260869,0.8801574683927624,0.8818694376651461,1.4007298217316821
got__best,got__best,last,last,llama-8b-base,15,lr,0.001,True,False,True,0.9998561151079137,0.0002877697841726423,0.99998798813725,2.402372549994425e-05,0.999988884544918,2.2230910164144914e-05,5.7718873309841445,0.05395577372387387,1.0,1.0,1.0,5.859770203829321,1.0,1.0,1.0,5.805804685069275,0.9992805755395684,0.9999399406862501,0.9999444227245896,5.7483368978217655,1.0,1.0,1.0,5.735034505098905,1.0,1.0,0.9999999999999999,5.710490363101452
sycophancy_v2__data/sycophancy_v2/llama-8b/pairs/sycophancy_pairs_26-03-02_22:30:03.csv,sycophancy_v2__data/sycophancy_v2/llama-8b/pairs/sycophancy_pairs_26-03-02_22:30:03.csv,last,last,llama-8b-base,15,lr,0.001,True,False,True,0.8345321405382007,0.006100043680572795,0.8970345675095318,0.014507760079536136,0.8948882610922508,0.022399526813376855,1.290329600327579,0.045201738586023076,0.8263473053892215,0.8960880633941698,0.8887093502646939,1.3218623605034783,0.8413173652694611,0.919179604862132,0.9277803878177018,1.2786014393161822,0.8293413173652695,0.8878052278676181,0.9000007899364029,1.2662948586716973,0.8413173652694611,0.9052673096919933,0.8996641066902402,1.2272622150693817,0.8343373493975904,0.8768326317317462,0.8582866707522151,1.357627128077155
claims__evidential_gemini_600_full,claims__definitional_gemini_600_full,last,last,llama-8b-base,15,lr,0.001,True,False,False,0.9505902192242834,0.002299862006237064,0.9781685715016962,0.0036513190999092207,0.9841600128218854,0.0018714797262918605,3.9713995933532713,0.1293064593564116,0.9468802698145026,0.9713350528509962,0.9807254677177121,4.205814838409424,0.9536256323777403,0.9823204388466908,0.986443017917029,3.917095184326172,0.9494097807757167,0.9790728823343733,0.9844512878457294,3.9740798473358154,0.9519392917369308,0.97865200811036,0.9844334602311566,3.9470407962799072,0.9510961214165261,0.979462475366061,0.9847468303977998,3.812967300415039
claims__fictional_gemini_600_full,claims__definitional_gemini_600_full,last,last,llama-8b-base,15,lr,0.001,True,False,False,0.9433389544688027,0.0012392022307503214,0.9753919391211123,0.0016933687952471774,0.9813112152949557,0.0009167955658282443,3.475721549987793,0.06982885292091279,0.945193929173693,0.978285165036727,0.9829722722665833,3.3530116081237793,0.9443507588532883,0.9756006699862646,0.9815003671820931,3.5286154747009277,0.9426644182124789,0.9754072953427992,0.9809191426452027,3.464918613433838,0.9418212478920742,0.974562703150016,0.9808910810697113,3.4762916564941406,0.9426644182124789,0.9731038620897543,0.9802732133111882,3.5557703971862793
claims__logical_gemini_600_full,claims__definitional_gemini_600_full,last,last,llama-8b-base,15,lr,0.001,True,False,False,0.9207419898819561,0.006241738793700419,0.9672599666144366,0.003272669139720207,0.9746969509607831,0.0023985180134919203,2.1345943450927733,0.07700414303661883,0.9148397976391232,0.9673964663627652,0.9736405276512627,2.258120059967041,0.9190556492411467,0.9685453392445308,0.975136523446908,2.1542587280273438,0.9139966273187183,0.9625251315942887,0.9711767126863101,2.110241651535034,0.9258010118043845,0.9654541886938397,0.9749619769327609,2.131516933441162,0.9300168634064081,0.9723787071767587,0.9785690140866738,2.018834352493286
got__best,claims__definitional_gemini_600_full,last,last,llama-8b-base,15,lr,0.001,True,False,False,0.902866779089376,0.0016349679114389002,0.9459324496870458,0.0017201157382162387,0.9599682026399321,0.0012584636330365824,2.919535779953003,0.05009294602508901,0.9055649241146712,0.948556657348663,0.9619088301464689,2.9416086673736572,0.9021922428330523,0.9456503502071668,0.9597400567806577,2.9687840938568115,0.903035413153457,0.9466627233406036,0.9605330020283798,2.8333544731140137,0.903035413153457,0.9455309129273792,0.9596004593652787,2.959340810775757,0.9005059021922428,0.9432616046114165,0.9580586648788749,2.8945908546447754
